,Type,NAME,REGION,TRBC INDUSTRY NAME,TRBC BUSI SEC NAME
0,TK:KCH,KOC HOLDING,"EUROPE+AFRICA, EMERGING MARKET, NON-U.S.",Investment Holding Companies,Holding Companies
1,K:PARG,KUNLUN ENERGY,"ASIA PACIFIC, NON-U.S.",Natural Gas Utilities,Utilities
2,CN:OOEH,OFFS.OIL ENGR. 'A' (SSC),"ASIA PACIFIC, EMERGING MARKET, NON-U.S.",Construction & Engineering,Industrial & Commercial Services
3,KO:DOS,MIRAE ASSET SECURITIES,"ASIA PACIFIC, EMERGING MARKET, NON-U.S.",Investment Banking & Brokerage Services,Banking & Investment Services
4,TW:FIB,FIRST FINANCIAL HOLDING,"ASIA PACIFIC, EMERGING MARKET, NON-U.S.",Banks,Banking & Investment Services
5,CN:CDCH,SINOLINK SECURITIES(SSC) 'A',"ASIA PACIFIC, EMERGING MARKET, NON-U.S.",Investment Banking & Brokerage Services,Banking & Investment Services
6,Q:BHOT,BUMRUNGRAD HOSPITAL,"ASIA PACIFIC, EMERGING MARKET, NON-U.S.",Healthcare Facilities & Services,Healthcare Services & Equipment
7,IN:AHE,APOLLO HOSPS.ENTERPRISE,"ASIA PACIFIC, EMERGING MARKET, NON-U.S.",Healthcare Facilities & Services,Healthcare Services & Equipment
8,SA:MOU,MOUWASAT MEDICAL SVS.,"EUROPE+AFRICA, EMERGING MARKET, NON-U.S., MIDDLE EAST",Healthcare Facilities & Services,Healthcare Services & Equipment
9,KO:CLZ,SAMSUNG C&T,"ASIA PACIFIC, EMERGING MARKET, NON-U.S.",Diversified Industrial Goods Wholesalers,Industrial & Commercial Services
10,CN:YUMH,YUNNAN ENERGY NEW (SEC) MATERIALS 'A',"ASIA PACIFIC, EMERGING MARKET, NON-U.S.",Commodity Chemicals,Chemicals
11,R:BVTJ,BIDVEST GROUP,"EUROPE+AFRICA, EMERGING MARKET, NON-U.S.",Consumer Goods Conglomerates,Consumer Goods Conglomerates
12,TW:UTD,UNITED MICRO ELTN.,"ASIA PACIFIC, EMERGING MARKET, NON-U.S.",Semiconductors,Technology Equipment
13,TW:COM,COMPAL ELECTRONICS,"ASIA PACIFIC, EMERGING MARKET, NON-U.S.",Computer Hardware,Technology Equipment
14,BR:TOT,TOTVS ON,"AMERICAS, EMERGING MARKET, NON-U.S.",Software,Software & IT Services
15,L:GAMU,GAMUDA,"ASIA PACIFIC, EMERGING MARKET, NON-U.S.",Construction & Engineering,Industrial & Commercial Services
16,MX:TRC,PROMOTORA Y OPRD. INFRE.,"AMERICAS, EMERGING MARKET, NON-U.S.",Highways & Rail Tracks,Industrial & Commercial Services
17,PO:BUX,BUDIMEX,"EUROPE+AFRICA, EMERGING MARKET, NON-U.S.",Construction & Engineering,Industrial & Commercial Services
18,PH:ACA,AYALA,"ASIA PACIFIC, EMERGING MARKET, NON-U.S.","Real Estate Rental, Development & Operations",Real Estate
19,IN:ZNX,PHOENIX MILLS,"ASIA PACIFIC, EMERGING MARKET, NON-U.S.","Real Estate Rental, Development & Operations",Real Estate
20,K:COLI,CHINA OVERSEAS LAND INVESTMENT,"ASIA PACIFIC, NON-U.S.","Real Estate Rental, Development & Operations",Real Estate
21,L:YTLO,YTL CORPORATION,"ASIA PACIFIC, EMERGING MARKET, NON-U.S.",Multiline Utilities,Utilities
22,K:GUAN,GUANGDONG INVESTMENT,"ASIA PACIFIC, NON-U.S.",Water & Related Utilities,Utilities
23,G:MYTI,METLEN ENERGY & METALS,"EUROPE+AFRICA, NON-U.S.",Multiline Utilities,Utilities
